name,description,property_type,region,amenities,price_per_night,bedrooms,bathrooms,max_guests,address,city,lat,lng,checkin_time,checkout_time,rating
Rainey Street Modern Loft,"Walk to Rainey Street's bars and food trucks from this floor-to-ceiling-glass loft in the heart of downtown. Skyline views, rooftop pool access, and a quick stroll to Lady Bird Lake.",loft,Downtown,wifi|ac|parking|hot_tub|terrace,295,1,1,2,86 Rainey St,Austin,30.2598,-97.7395,15:00,11:00,4.7
East Side Bungalow on Cesar Chavez,"Renovated 1920s bungalow on a quiet East Austin street. Original hardwoods, screened back porch, and a short walk to Veracruz tacos and Hillside Farmacy.",bungalow,East Austin,wifi|ac|parking|bbq|garden,185,2,1,4,2310 E Cesar Chavez St,Austin,30.2614,-97.7178,15:00,11:00,4.5
SoCo Vintage Studio,"Mid-century studio above a vintage shop on South Congress. Steps to Home Slice Pizza and the South Congress Hotel.",studio,South Congress,wifi|ac|parking,155,0,1,2,1409 S Congress Ave,Austin,30.2497,-97.7505,15:00,11:00,4.6
Zilker Park Bungalow Hideaway,"Two-bedroom bungalow tucked between Zilker Park and Barton Springs. Private backyard with hot tub and string lights.",bungalow,Zilker,wifi|ac|parking|garden|hot_tub,245,2,2,4,2014 Goodrich Ave,Austin,30.2638,-97.7702,15:00,11:00,4.8
Barton Hills Hillside Cottage,"Cozy cottage on a wooded lot in Barton Hills. Big back deck overlooking the canopy, perfect for evening BBQs.",cottage,Barton Hills,wifi|ac|parking|bbq|terrace,215,2,1,4,2104 Bluebonnet Ln,Austin,30.2551,-97.7723,15:00,11:00,4.7
Hyde Park Craftsman House,"Classic Hyde Park craftsman with three bedrooms, a covered front porch, and a fenced garden. Walk to Quack's bakery and Mother's Cafe.",house,Hyde Park,wifi|ac|parking|bbq|garden,275,3,2,6,4109 Avenue G,Austin,30.3088,-97.7251,15:00,11:00,4.9
Mueller Modern Townhouse,"Bright three-story townhouse in Mueller with rooftop terrace and shared pool. Walk to Alamo Drafthouse and the Sunday farmers market.",townhouse,Mueller,wifi|ac|parking|pool,235,3,2,6,4501 Camacho St,Austin,30.3001,-97.7048,15:00,11:00,4.6
Tarrytown Mid-Century Estate,"Five-bedroom mid-century estate on a large Tarrytown lot. Pool, hot tub, outdoor kitchen, and mature oaks throughout.",estate,Tarrytown,wifi|ac|parking|pool|hot_tub|bbq|garden,625,5,4,10,2702 Bridle Path,Austin,30.2980,-97.7758,16:00,11:00,4.9
Westlake Hills Luxury Villa,"Stunning hillside villa in Westlake with panoramic Hill Country views, infinity pool, and a glimpse of Lake Austin in the distance.",villa,Westlake,wifi|ac|parking|pool|hot_tub|lake_view|bbq,695,5,4,10,4307 Westbank Dr,Austin,30.2849,-97.8092,16:00,11:00,4.8
Lake Travis Waterfront Cabin,"Three-bedroom cabin with private dock on Lake Travis. Kayaks included, hot tub on the deck, and dazzling sunsets over the water.",cabin,Lake Travis,wifi|ac|parking|lake_view|bbq|hot_tub,385,3,2,6,18001 Lakepoint Cove,Austin,30.4015,-97.9080,15:00,11:00,4.8
Downtown High-Rise Apartment,"Modern one-bedroom in a downtown high-rise. Pool deck on the 25th floor, walking distance to the Convention Center and 6th Street.",apartment,Downtown,wifi|ac|parking|pool,225,1,1,2,300 Bowie St,Austin,30.2675,-97.7475,15:00,11:00,4.5
East Austin Artist Loft,"Industrial loft in a converted East Austin warehouse. Exposed brick, artist's workspace, and a private terrace with downtown views.",loft,East Austin,wifi|ac|parking|terrace,195,1,1,2,1100 E 5th St,Austin,30.2627,-97.7295,15:00,11:00,4.6
South Congress Townhouse,"Two-bedroom townhouse one block off South Congress. Private rooftop terrace with skyline views and a Big Green Egg.",townhouse,South Congress,wifi|ac|parking|terrace|bbq,265,2,2,4,1607 Newning Ave,Austin,30.2479,-97.7497,15:00,11:00,4.7
Lake Travis Lakefront Estate,"Six-bedroom lakefront estate with private boat slip, pool, hot tub, and outdoor kitchen. Sleeps twelve for big family gatherings.",estate,Lake Travis,wifi|ac|parking|pool|hot_tub|lake_view|bbq|garden,895,6,5,12,2200 Big View Dr,Austin,30.3990,-97.9145,16:00,11:00,5.0
Hyde Park Cottage with Garden,"Charming two-bedroom cottage with a lush, fenced garden. Walk to Hyde Park Bar & Grill and Asti Trattoria.",cottage,Hyde Park,wifi|ac|parking|garden|bbq,175,2,1,4,4205 Avenue B,Austin,30.3102,-97.7257,15:00,11:00,4.7
